"FECHA DE APERTURA","DIA DE APERTURA","FECHA OCURRENCIA HECHOS","DIA OCURRENCIA","HORA MILITAR OCURRENCIA HECHOS","CONFORMAN UNIDAD DOMESTICA S/N","FISICA","VERBAL","ECONOMICA","PSICOLOGICA","SEXUAL","GENERO M/F VICTIMA","EDAD
VICTIMA","VICTIMA CONFLICTO ARMADO","ETNIA
VICTIMA","ESCOLARIDAD
VICTIMA","INSTUTUCION EDUCATIVA O COLEGIO","CONSUMO SUSTANCIAS PSICOACTIVAS","CORREGIMIENTO VICTIMA","COMUNA DE LA VICTIMA","BARRIO VICTIMA","TIPO VIVIENDA VICTIMA","GENERO AGRESOR M/F","PARENTESCO FRENTE A LA VICTIMA","NUMERO DE HIJOS
AGRESOR","EDAD AGRESOR","ESTADO CIVIL AGRESOR","ESCOLARIDAD AGRESOR","OCUPACION
AGRESOR","CORREGIMIENTO
AGRESOR","COMUNA AGRESOR","BARRIO AGRESOR","TIPO VIVIENDA
AGRESOR"
"2022-01-03T00:00:00.000","lunes","2022-03-01T00:00:00.000","lunes","11:30.a.m","si","si","si","no","no","no","femenino","no aplica","no","ninguno","no aplica","no aplica","no","ninguno","comuna6","libertadores","alquilada","femenino","madre","no aplica","no aplica","unión libre","primaria incompleta","desempleado","ninguno","comuna 6","libertadores","alquilada"
"2022-01-06T00:00:00.000","viernes","24/12/2021","viernes","1899-12-31T14:00:00.000","no","si","si","no","si","no","masculino","7","no","ninguno","no aplica","no aplica","no aplica","ninguno","comuna7","no aplica","no aplica","femenino","madre","2","17","soltero(a)","primaria incompleta","independiente","ninguno","comuna 7","no aplica","alquilada"
"2022-06-05T00:00:00.000","domingo","NO APLICA","no aplica","NO APLICA","no","no","si","no","si","no","masculino","3","no aplica","no aplica","no aplica","NO APLICA","no","ninguno","comuna5","san pedro","no aplica","femenino","madre","1","3","soltero(a)","postgrado","ingeniera","ninguno","comuna 5","san pedro","NO APLICA"
"2022-01-06T00:00:00.000","viernes","no aplica","no aplica","no aplica","si","si","si","no","si","no","masculino","8","no","ninguno","primaria incompleta","liceo exploradores del saber","no aplica","ninguno","comuna7","no aplica","no aplica","femenino","madre","1","8","unión libre","bachiller completo","independiente","ninguno","comuna 7","no aplica","alquilada"
"2022-01-12T00:00:00.000","miercoles","2022-08-01T00:00:00.000","sábado","no aplica","si","si","si","no","si","no","masculino","8","no","ninguno","no aplica","no aplica","ninguno","ninguno","comuna2","no aplica","alquilada","femenino","madre","2","8","soltero(a)","no aplica","ama de casa","ninguno","comuna 2","no aplica","alquilada"
"2022-01-12T00:00:00.000","miercoles","2022-08-01T00:00:00.000","sábado","no aplica","si","si","si","no","si","no","masculino","3","no","ninguno","no aplica","no aplica","ninguno","ninguno","comuna2","no aplica","alquilada","femenino","madre","2","8","soltero(a)","no aplica","ama de casa","ninguno","comuna 2","no aplica","alquilada"
"2022-01-27T00:00:00.000","jueves","23/01/2022","domingo","1899-12-31T14:30:00.000","no","si","si","no","si","no","femenino","10","no","ninguno","bachiller incompleto","i.e- liceo femenino","ninguno","ninguno","comuna2","no aplica","alquilada","masculino","padre","4","10","casado(a)","bachiller completo","oficios varios","ninguno","comuna 1","no aplica","propia"
"2022-01-07T00:00:00.000","viernes","no aplica","no aplica","no aplica","no aplica","si","si","no","si","no","femenino","11","no","ninguno","primaria incompleta","i.e sanvicente de paul","ninguno","ninguno","comuna7","no aplica","familiar","masculino","padre","2","19","no aplica","no aplica","desempleado","ninguno","no aplica","no aplica","no aplica"
"2022-04-01T00:00:00.000","miercoles","2022-04-01T00:00:00.000","miercoles","9:10 a.m.","si","si","si","no","si","no","femenino","16","no","ninguno","bachiller incompleto","no aplica","no","ninguno","comuna1","villa caimitos","no aplica","femenino","madre","1","34","casado(a)","pregrado","empleado","ninguno","comuna 1","villa caimitos","alquilada"
"17-01-2022","lunes","23-05-2021","domingo","9:10 a.m.","si","no","si","si","si","no","masculino","17","no","afrocolombiano","bachiller incompleto","no aplica","no","ninguno","comuna1","villa caimitos","no aplica","masculino","padre","6","38","soltero(a)","primaria incompleta","desempleado","ninguno","comuna 1","villa caimitos","familiar"
"18-01-2022","martes","15-10-2021","viernes","19:23 p.m.","si","no","si","no","si","no","masculino","14","no","ninguno","primaria incompleta","no aplica","si","ninguno","comuna2","santa maria del palmar","no aplica","femenino","madre","4","32","soltero(a)","primaria incompleta","independiente","ninguno","comuna 2","santa maria del palmar","familiar"
"18-01-2022","martes","2021-04-11T00:00:00.000","jueves","8:59 a.m.","si","no","si","no","si","no","masculino","11","no","ninguno","primaria incompleta","no aplica","no","ninguno","comuna2","santa maria del palmar","no aplica","masculino","hermano(a)","0","14","soltero(a)","primaria incompleta","independiente","ninguno","comuna 2","santa maria del palmar","familiar"
"18-01-2022","martes","2021-04-11T00:00:00.000","jueves","9:01 a.m.","si","no","si","no","si","no","femenino","3","no","ninguno","primaria incompleta","no aplica","no","ninguno","comuna2","santa maria del palmar","no aplica","masculino","hermano(a)","0","14","soltero(a)","primaria incompleta","independiente","ninguno","comuna 2","santa maria del palmar","familiar"
"18-01-2022","martes","2021-04-11T00:00:00.000","jueves","9:08 a.m.","si","no","si","no","si","no","masculino","2","no","ninguno","primaria incompleta","no aplica","no","ninguno","comuna2","santa maria del palmar","no aplica","masculino","hermano(a)","0","14","soltero(a)","primaria incompleta","independiente","ninguno","comuna 2","santa maria del palmar","familiar"
"18-01-2022","martes","20-10-2021","miercoles","18:00 p.m.","si","no","si","no","si","no","femenino","17","no","ninguno","bachiller incompleto","sagrada familia","no","ninguno","comuna1","zamorano","no aplica","femenino","madre","1","39","soltero(a)","bachiller completo","independiente","ninguno","comuna 2","altamira","familiar"
"18-01-2022","martes","15-12-2021","miercoles","11:49 a.m.","si","no","si","no","si","si","masculino","6","no","ninguno","primaria incompleta","harold eder","no","ninguno","comuna1","urb. los mangos","no aplica","femenino","madre","2","28","soltero(a)","bachiller completo","desempleado","ninguno","comuna 1","urb. los mangos","alquilada"
"18-01-2022","martes","15-12-2021","miercoles","11:49 a.m.","si","no","si","no","si","si","masculino","2","no","ninguno","primaria incompleta","no aplica","no","ninguno","comuna1","urb. los mangos","no aplica","femenino","madre","2","28","soltero(a)","bachiller completo","desempleado","ninguno","comuna 1","urb. los mangos","alquilada"
"2022-10-01T00:00:00.000","jueves","2022-10-01T00:00:00.000","jueves","12:00 p.m.","si","si","si","no","si","si","masculino","16","no","ninguno","bachiller completo","no aplica","no","ninguno","comuna2","altamira","no aplica","femenino","madre","3","45","viudo(a)","bachiller completo","independiente","ninguno","comuna 2","altamira","alquilada"
"18-01-2022","viernes","21/01/2022","viernes","1899-12-31T09:51:00.000","si","si","si","no","si","no","masculino","12","no","ninguno","primaria completa","soledad medina","no","ninguno","comuna2","urb. juan pablo ii","no aplica","masculino","padre","2","0","soltero(a)","primaria incompleta","independiente","ninguno","comuna 1","villa caimitos","alquilada"
"18-01-2022","viernes","21/01/2022","viernes","13:46 p.m.","si","si","si","no","si","no","masculino","10","no","ninguno","primaria completa","soledad medina","no","ninguno","comuna2","urb. juan pablo ii","no aplica","masculino","padre","2","0","soltero(a)","primaria incompleta","independiente","ninguno","comuna 1","villa caimitos","alquilada"
