FECHA DE APERTURA,DIA DE APERTURA,FISICA,VERBAL,ECONOMICA,PSICOLOGICA,SEXUAL,GENERO M/F VICTIMA,EDAD_VICTIMA_NUM,GENERO AGRESOR M/F,EDAD_AGRESOR_NUM,PARENTESCO FRENTE A LA VICTIMA,COMUNA DE LA VICTIMA,TOTAL_ABUSE_TYPES,IS_INTRAFAMILIAL,IS_MULTIDIMENSIONAL,HAS_PSYCHOLOGICAL,SEVERITY_LEVEL
2022-01-03T00:00:00.000,lunes,si,si,no,no,no,femenino,,femenino,,madre,comuna6,2,True,True,False,Medium
2022-01-06T00:00:00.000,viernes,si,si,no,si,no,masculino,7.0,femenino,17.0,madre,comuna7,3,True,True,True,High
2022-06-05T00:00:00.000,domingo,no,si,no,si,no,masculino,3.0,femenino,3.0,madre,comuna5,2,True,True,True,Medium
2022-01-06T00:00:00.000,viernes,si,si,no,si,no,masculino,8.0,femenino,8.0,madre,comuna7,3,True,True,True,High
2022-01-12T00:00:00.000,miercoles,si,si,no,si,no,masculino,8.0,femenino,8.0,madre,comuna2,3,True,True,True,High
2022-01-12T00:00:00.000,miercoles,si,si,no,si,no,masculino,3.0,femenino,8.0,madre,comuna2,3,True,True,True,High
2022-01-27T00:00:00.000,jueves,si,si,no,si,no,femenino,10.0,masculino,10.0,padre,comuna2,3,True,True,True,High
2022-01-07T00:00:00.000,viernes,si,si,no,si,no,femenino,11.0,masculino,19.0,padre,comuna7,3,True,True,True,High
2022-04-01T00:00:00.000,miercoles,si,si,no,si,no,femenino,16.0,femenino,34.0,madre,comuna1,3,True,True,True,High
17-01-2022,lunes,no,si,si,si,no,masculino,17.0,masculino,38.0,padre,comuna1,3,True,True,True,High
18-01-2022,martes,no,si,no,si,no,masculino,14.0,femenino,32.0,madre,comuna2,2,True,True,True,Medium
18-01-2022,martes,no,si,no,si,no,masculino,11.0,masculino,14.0,hermano(a),comuna2,2,False,True,True,Medium
18-01-2022,martes,no,si,no,si,no,femenino,3.0,masculino,14.0,hermano(a),comuna2,2,False,True,True,Medium
18-01-2022,martes,no,si,no,si,no,masculino,2.0,masculino,14.0,hermano(a),comuna2,2,False,True,True,Medium
18-01-2022,martes,no,si,no,si,no,femenino,17.0,femenino,39.0,madre,comuna1,2,True,True,True,Medium
18-01-2022,martes,no,si,no,si,si,masculino,6.0,femenino,28.0,madre,comuna1,3,True,True,True,High
18-01-2022,martes,no,si,no,si,si,masculino,2.0,femenino,28.0,madre,comuna1,3,True,True,True,High
2022-10-01T00:00:00.000,jueves,si,si,no,si,si,masculino,16.0,femenino,45.0,madre,comuna2,4,True,True,True,High
18-01-2022,viernes,si,si,no,si,no,masculino,12.0,masculino,0.0,padre,comuna2,3,True,True,True,High
18-01-2022,viernes,si,si,no,si,no,masculino,10.0,masculino,0.0,padre,comuna2,3,True,True,True,High
18-01-2022,viernes,si,si,no,si,no,femenino,12.0,masculino,0.0,padre,comuna1,3,True,True,True,High
18-01-2022,viernes,si,si,no,si,no,masculino,15.0,masculino,0.0,padre,comuna1,3,True,True,True,High
2022-01-20T00:00:00.000,jueves,si,si,no,si,no,masculino,4.0,masculino,4.0,padre,no aplica,3,True,True,True,High
2022-01-20T00:00:00.000,jueves,si,si,no,si,no,masculino,7.0,masculino,7.0,padre,no aplica,3,True,True,True,High
2022-04-02T00:00:00.000,viernes,si,si,no,si,no,masculino,14.0,masculino,17.0,hermano(a),comuna2,3,False,True,True,High
14-02-2022,lunes,si,si,no,si,si,masculino,14.0,masculino,0.0,hermanastro(a),comuna2,4,False,True,True,High
15-02-2022,martes,si,si,no,si,no,femenino,11.0,femenino,27.0,madre,comuna1,3,True,True,True,High
16-02-2022,miercoles,si,si,no,si,no,femenino,15.0,femenino,40.0,padre,comuna1,3,True,True,True,High
16-02-2022,miercoles,si,si,no,si,no,masculino,8.0,femenino,27.0,padre,comuna1,3,True,True,True,High
18-02-2022,viernes,si,si,no,si,no,masculino,7.0,femenino,26.0,madre,comuna2,3,True,True,True,High
18-02-2022,viernes,si,si,no,si,no,femenino,3.0,femenino,26.0,madre,comuna2,3,True,True,True,High
18-02-2022,viernes,si,si,no,si,no,masculino,10.0,masculino,33.0,padre,comuna1,3,True,True,True,High
18-02-2022,viernes,si,si,no,si,si,femenino,4.0,masculino,22.0,padre,comuna2,4,True,True,True,High
21-02-2022,lunes,si,si,no,si,no,masculino,3.0,masculino,0.0,padre,comuna2,3,True,True,True,High
21-02-2022,lunes,si,si,no,si,no,masculino,5.0,femenino,17.0,padre,comuna1,3,True,True,True,High
24-02-2022,jueves,si,si,no,si,no,masculino,8.0,masculino,27.0,padre,comuna1,3,True,True,True,High
2022-02-05T00:00:00.000,sabado,no,si,si,si,no,femenino,15.0,masculino,,padre,bogota,3,True,True,True,High
2022-02-07T00:00:00.000,lunes,si,si,no,si,no,masculino,12.0,femenino,12.0,madre,comuna5,3,True,True,True,High
2022-02-17T00:00:00.000,jueves,si,si,no,si,no,masculino,3.0,masculino,,padrastro,comuna4,3,False,True,True,High
2022-02-21T00:00:00.000,lunes,si,si,no,si,no,masculino,13.0,femenino,36.0,madre,comuna7,3,True,True,True,High
2022-02-03T00:00:00.000,jueves,si,si,no,si,no,femenino,12.0,femenino,,abuela,comuna2,3,False,True,True,High
2022-02-18T00:00:00.000,viernes,si,si,no,si,no,femenino,16.0,masculino,,padrastro,comuna7,3,False,True,True,High
