"VIGENCIA","MES","RUBRO","CONCEPTO","PRESUPUESTO VIGENTE (PV)","RECAUDOS (RS)","RS/PV"
"2,024","1","1.1","INGRESOS CORRIENTES","33,245,787,941","3,961,439,861","12%"
"2,024","2","1.1","INGRESOS CORRIENTES","33,245,787,941","8,627,563,841","26%"
"2,024","3","1.1","INGRESOS CORRIENTES","33,245,787,941","11,723,557,674","35%"
"2,024","4","1.1","INGRESOS CORRIENTES","33,245,787,941","16,059,792,547","48%"
"2,024","5","1.1","INGRESOS CORRIENTES","33,245,787,941","20,445,963,410","61%"
"2,024","6","1.1","INGRESOS CORRIENTES","33,245,787,941","24,942,804,352","75%"
"2,024","7","1.1","INGRESOS CORRIENTES","33,245,787,941","29,762,628,799","90%"
"2,024","8","1.1","INGRESOS CORRIENTES","33,245,787,941","33,820,868,182","102%"
"2,024","9","1.1","INGRESOS CORRIENTES","33,245,787,941","38,245,534,589","115%"
"2,024","10","1.1","INGRESOS CORRIENTES","33,245,787,941","43,211,150,190","130%"
"2,024","11","1.1","INGRESOS CORRIENTES","33,245,787,941","46,977,906,845","141%"
"2,024","12","1.1","INGRESOS CORRIENTES","38,233,936,050","55,495,944,368","145%"
"2,024","1","1.2","RECURSOS DE CAPITAL","30,669,771,617","2,393,769","0%"
"2,024","2","1.2","RECURSOS DE CAPITAL","30,719,771,617","2,619,936","0%"
"2,024","3","1.2","RECURSOS DE CAPITAL","30,719,771,617","4,171,410","0%"
"2,024","4","1.2","RECURSOS DE CAPITAL","30,719,771,617","4,709,939","0%"
"2,024","5","1.2","RECURSOS DE CAPITAL","44,784,732,864","44,754,474,217","100%"
"2,024","6","1.2","RECURSOS DE CAPITAL","44,784,732,864","44,757,371,741","100%"
"2,024","7","1.2","RECURSOS DE CAPITAL","44,784,732,864","44,758,705,043","100%"
"2,024","8","1.2","RECURSOS DE CAPITAL","44,784,732,864","44,759,637,736","100%"
"2,024","9","1.2","RECURSOS DE CAPITAL","44,784,732,864","44,772,242,481","100%"
"2,024","10","1.2","RECURSOS DE CAPITAL","44,784,732,864","44,779,038,466","100%"
"2,024","11","1.2","RECURSOS DE CAPITAL","44,784,732,864","44,779,554,002","100%"
"2,024","12","1.2","RECURSOS DE CAPITAL","44,784,732,864","44,864,623,670","100%"
"2,020","1","1.1","INGRESOS CORRIENTES","19,427,965,234","1,134,150,842","6%"
"2,020","2","1.1","INGRESOS CORRIENTES","19,427,965,234","2,557,250,842","13%"
"2,020","3","1.1","INGRESOS CORRIENTES","19,427,965,234","3,715,535,874","19%"
"2,020","4","1.1","INGRESOS CORRIENTES","19,427,965,234","5,225,469,177","27%"
"2,020","5","1.1","INGRESOS CORRIENTES","19,427,965,234","6,800,698,610","35%"
"2,020","6","1.1","INGRESOS CORRIENTES","19,427,965,234","8,254,971,217","42%"
"2,020","7","1.1","INGRESOS CORRIENTES","19,427,965,234","9,827,665,851","51%"
"2,020","8","1.1","INGRESOS CORRIENTES","19,427,965,234","11,493,149,953","59%"
"2,020","9","1.1","INGRESOS CORRIENTES","19,427,965,234","12,670,786,668","65%"
"2,020","10","1.1","INGRESOS CORRIENTES","19,427,965,234","13,971,689,896","72%"
"2,020","11","1.1","INGRESOS CORRIENTES","19,427,965,234","15,354,436,846","79%"
"2,020","12","1.1","INGRESOS CORRIENTES","19,427,965,234","16,963,993,271","87%"
"2,020","1","1.2","RECURSOS DE CAPITAL","1,557,657,517","36,794,439","2%"
"2,020","2","1.2","RECURSOS DE CAPITAL","1,557,657,517","1,106,796,691","71%"
"2,020","3","1.2","RECURSOS DE CAPITAL","2,444,112,893","981,330,514","40%"
"2,020","4","1.2","RECURSOS DE CAPITAL","2,444,112,893","984,061,921","40%"
"2,020","5","1.2","RECURSOS DE CAPITAL","2,444,112,893.05","984,061,921","40%"
"2,020","6","1.2","RECURSOS DE CAPITAL","2,444,112,893","984,061,921","40%"
"2,020","7","1.2","RECURSOS DE CAPITAL","2,444,112,893","986,554,223","40%"
"2,020","8","1.2","RECURSOS DE CAPITAL","2,444,112,893","986,554,223","40%"
"2,020","9","1.2","RECURSOS DE CAPITAL","2,444,112,893","989,279,003","40%"
"2,020","10","1.2","RECURSOS DE CAPITAL","2,825,008,050","999,722,771","35%"
"2,020","11","1.2","RECURSOS DE CAPITAL","3,229,330,420","1,674,175,381","52%"
"2,020","12","1.2","RECURSOS DE CAPITAL","3,229,330,420","1,741,644,061","54%"
"2,025","1","1.1","INGRESOS CORRIENTES","52,869,278,090","2,902,008,110","12%"
"2,025","2","1.1","INGRESOS CORRIENTES","52,869,278,090","7,249,981,962","26%"
